age,workclass,fnlwgt,education,educational-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country
33,1,557359,11,9,2,5,0,1,0,0,0,40,38
36,2,301227,4,3,5,8,4,1,1,0,0,35,25
17,2,413557,1,7,4,0,3,0,1,0,0,32,38
21,2,301199,15,10,4,6,3,0,1,0,0,40,38
28,2,451742,11,9,0,3,1,0,1,0,0,40,38
20,1,312427,11,9,2,10,0,1,0,0,0,30,32
23,2,345577,9,13,4,0,1,0,1,0,0,46,38
36,2,473547,11,9,2,2,0,1,0,0,0,30,38
29,2,337953,11,9,2,11,0,0,0,0,0,40,38
18,2,391585,11,9,4,6,2,0,1,0,0,40,38
57,2,329792,5,4,0,13,4,0,0,0,0,75,38
36,2,389725,15,10,0,0,1,0,0,0,0,45,38
24,2,314165,15,10,4,3,3,0,0,0,0,20,38
59,2,656036,9,13,5,0,4,0,0,0,0,60,38
22,2,369084,15,10,4,2,3,0,0,0,0,40,38
29,2,425830,7,12,4,11,1,0,0,0,0,40,38
29,2,340534,11,9,4,0,1,0,1,0,0,44,38
37,2,295127,15,10,0,7,1,0,0,0,0,47,38
74,4,392886,11,9,6,4,1,0,1,0,0,14,38
28,2,480861,11,9,2,6,0,0,0,0,0,45,38
50,2,330543,13,1,2,7,0,0,0,0,0,40,25
32,5,317647,11,9,4,13,3,0,0,0,0,40,38
24,2,461678,15,10,2,4,0,0,0,0,0,50,38
42,2,318255,11,9,0,0,4,0,1,0,0,40,38
25,2,405281,15,10,4,2,1,0,0,0,0,40,38
47,2,431245,5,4,2,2,0,0,0,0,0,40,38
38,4,344480,11,9,2,2,0,0,0,4064,0,40,38
22,2,369549,15,10,4,7,1,1,1,0,0,30,38
21,2,321426,15,10,4,11,4,0,1,0,0,49,38
29,1,302422,8,11,4,10,1,0,0,0,1564,56,38
38,5,364958,11,9,2,0,0,0,0,3464,0,40,38
58,2,314153,11,9,2,2,0,0,0,0,0,40,38
38,2,391040,8,11,5,12,4,0,1,0,0,20,38
53,1,324021,15,10,0,7,1,0,1,0,0,40,38
29,2,334096,11,9,4,5,1,0,1,0,0,25,38
38,2,435638,15,10,4,2,1,0,0,0,1876,40,38
52,2,312446,11,9,2,2,0,0,0,0,0,40,38
53,2,361405,11,9,2,9,0,0,0,0,0,40,38
37,2,359796,15,10,0,11,1,1,0,0,0,40,38
32,2,303942,11,9,2,6,0,0,0,0,0,40,38
26,2,389856,11,9,4,13,1,0,0,0,0,40,38
30,1,346122,7,12,2,10,0,0,0,5013,0,45,38
38,1,329980,11,9,4,2,1,0,0,0,1876,40,1
30,2,415266,11,9,2,12,0,0,0,0,0,40,38
23,2,329174,11,9,4,0,1,0,0,0,0,40,38
22,2,361608,11,9,4,0,1,0,1,0,0,40,38
34,2,421200,11,9,2,2,0,1,0,0,0,40,38
90,2,313749,9,13,4,9,3,0,1,0,0,10,38
31,2,295922,15,10,4,0,1,0,0,0,0,40,38
24,2,396099,15,10,4,0,1,0,1,0,0,40,38
24,2,295073,11,9,4,5,1,1,0,0,0,50,38
40,4,814850,6,5,0,7,1,1,1,0,0,20,38
21,2,654141,11,9,4,2,1,1,0,0,0,32,38
52,2,374883,8,11,4,4,1,0,0,0,0,50,38
30,2,339773,11,9,4,6,1,0,0,0,0,45,38
47,2,365516,12,14,0,9,4,0,1,0,0,40,38
50,2,421132,11,9,2,2,0,0,0,0,0,40,38
58,2,407138,5,4,2,6,0,0,0,2936,0,50,25
73,2,573446,15,10,2,9,0,0,0,0,0,15,38
25,1,348986,11,9,4,5,2,1,0,0,0,40,38
17,2,321880,0,6,4,7,3,1,0,0,0,15,38
19,2,389942,11,9,4,11,1,0,0,0,0,40,38
26,3,384276,15,10,2,3,0,0,0,0,0,60,38
72,4,298945,9,13,6,4,1,0,0,0,0,40,38
42,2,478373,7,12,0,9,1,0,1,0,0,40,38
23,2,406641,15,10,4,5,2,0,1,0,0,18,38
40,0,346532,15,10,2,0,0,1,0,0,0,40,38
35,2,397307,12,14,4,3,1,0,1,0,0,55,38
58,2,293399,1,7,6,6,1,0,1,0,0,40,38
35,2,393673,15,10,4,12,2,0,1,0,0,40,38
33,2,547886,9,13,5,3,4,1,1,0,0,40,38
38,4,423616,11,9,2,11,5,0,1,0,0,24,38
31,2,348491,9,13,4,3,1,1,1,0,0,40,38
43,2,412379,15,10,4,7,4,0,1,0,0,28,38
38,2,357173,11,9,2,2,0,0,0,0,0,40,38
40,2,382499,11,9,0,0,4,0,1,0,0,50,38
57,2,322691,8,11,2,2,0,0,0,0,0,40,38
30,2,633742,15,10,4,2,1,1,0,0,0,45,38
31,2,397467,11,9,2,2,0,0,0,0,0,40,38
42,2,360879,15,10,2,2,0,0,0,0,0,40,38
39,2,352188,9,13,4,0,1,0,0,0,0,40,38
21,2,447488,4,3,4,6,2,0,0,0,0,38,25
29,2,308944,11,9,3,2,1,0,0,0,0,40,38
27,2,302422,15,10,4,6,3,0,0,0,0,40,38
37,4,377798,15,10,0,2,1,0,0,0,0,50,38
30,2,399522,1,7,3,5,4,0,1,0,0,40,38
44,2,344920,9,13,4,0,1,0,1,0,1617,20,38
34,2,443546,11,9,2,2,0,0,0,0,0,40,38
38,2,363395,15,10,4,11,4,1,1,0,0,40,38
25,2,410009,15,10,4,0,4,0,1,0,0,40,38
53,2,309466,11,9,0,2,1,0,0,0,0,40,38
55,2,353881,5,4,2,13,0,0,0,0,0,50,38
26,4,334267,15,10,4,4,1,0,0,0,0,40,38
51,0,321494,11,9,4,7,1,0,0,0,0,40,38
25,2,297154,11,9,2,5,0,0,0,2407,0,40,38
35,2,350169,11,9,0,6,4,0,1,0,0,38,23
42,4,373403,11,9,2,4,0,0,0,0,0,50,38
42,2,445382,7,12,0,2,1,0,0,0,0,40,38
55,2,327406,15,10,0,11,1,0,0,0,0,65,38
37,2,635913,9,13,4,3,1,1,0,0,0,60,38
43,2,328570,15,10,0,6,4,1,1,0,0,38,38
29,2,301031,11,9,2,13,0,1,0,0,0,40,38
18,2,324011,6,5,4,4,3,0,0,0,0,20,38
36,2,355053,11,9,5,7,4,1,1,0,0,28,38
20,2,353696,15,10,4,0,3,0,0,0,0,28,38
19,2,456736,15,10,4,7,1,0,0,0,0,35,38
43,2,342567,9,13,3,0,4,0,1,0,0,40,38
19,2,304643,15,10,4,11,3,0,0,0,0,20,38
27,5,315640,12,14,4,9,1,1,0,0,0,20,2
37,2,910398,9,13,4,11,1,1,1,0,0,40,38
37,2,393360,15,10,4,10,3,1,0,0,0,30,38
24,2,349691,15,10,4,11,2,1,1,0,0,40,38
23,2,376416,9,13,4,0,1,0,0,0,0,40,38
28,2,308709,9,13,4,11,1,0,1,0,0,48,38
44,2,408717,11,9,0,11,1,0,0,3674,0,50,38
32,2,352089,11,9,0,0,1,0,1,0,0,38,38
32,2,329993,15,10,2,13,0,0,0,0,0,50,38
35,1,668319,9,13,2,3,0,0,0,0,1740,80,38
40,2,379917,8,11,4,13,1,0,0,0,0,32,38
32,2,309513,11,9,2,2,0,0,0,0,0,50,38
21,2,442131,11,9,4,5,3,0,1,0,0,40,38
24,2,315476,7,12,4,2,3,0,0,0,0,40,38
34,2,684015,4,3,4,5,3,0,0,0,0,40,7
31,5,1033222,15,10,2,6,0,0,0,0,0,40,38
46,4,317253,11,9,2,2,0,0,0,0,0,25,38
64,2,387669,3,2,2,13,0,0,0,0,0,40,38
22,2,385540,0,6,4,7,1,0,0,0,0,40,25
47,1,330080,1,7,3,2,1,1,0,0,0,40,38
38,2,383239,0,6,2,2,0,0,0,3103,0,40,38
34,1,454076,8,11,2,7,0,0,0,0,0,40,38
32,2,340917,11,9,4,5,1,0,0,0,0,40,38
23,2,434894,11,9,2,5,0,1,0,0,0,40,38
29,2,485944,9,13,4,11,3,1,0,0,0,40,38
25,2,324372,11,9,4,5,3,1,0,0,0,40,38
58,2,372181,11,9,0,11,4,0,1,0,0,40,38
46,2,318331,11,9,2,6,0,0,0,0,0,40,38
33,4,295591,3,2,3,2,1,0,0,0,0,40,25
40,2,316820,5,4,2,11,0,0,0,4064,0,40,38
17,2,297246,1,7,4,8,3,0,1,0,0,9,38
34,2,353213,7,12,5,2,1,0,0,0,0,60,38
19,2,366088,6,5,4,6,3,0,0,0,0,40,38
29,2,327779,15,10,2,5,0,0,0,0,0,20,38
43,5,308498,11,9,3,3,4,0,1,0,0,40,38
33,2,397995,9,13,4,9,1,0,0,0,0,40,38
19,2,377405,15,10,4,3,1,0,1,0,0,20,38
60,2,372838,11,9,2,2,0,0,0,0,0,40,38
19,2,389143,15,10,4,11,3,0,0,0,0,40,38
45,2,295046,11,9,2,11,0,0,0,0,0,60,38
24,2,314819,15,10,4,2,1,0,0,2174,0,40,38
52,2,320877,11,9,2,6,0,1,0,0,0,40,38
34,2,299383,11,9,4,2,1,1,0,0,0,40,38
43,2,358677,8,11,0,2,1,1,0,0,0,40,38
33,2,377283,9,13,5,11,1,0,1,0,0,50,38
34,2,511361,15,10,4,7,3,1,0,0,0,40,38
28,2,375482,9,13,4,11,1,0,0,0,0,40,38
30,1,370990,12,14,4,9,1,0,1,0,0,40,38
40,2,566537,13,1,2,7,0,0,0,0,1672,40,25
48,2,425199,15,10,0,11,4,0,0,0,0,45,38
18,2,294720,1,7,4,7,3,0,0,0,0,12,38
61,2,373099,5,4,2,2,0,0,0,0,0,40,38
27,2,363053,6,5,4,8,4,0,1,0,0,24,25
25,2,323229,9,13,4,0,1,0,0,0,0,40,38
34,2,442656,1,7,4,11,4,0,1,0,0,65,12
37,2,390243,11,9,4,13,1,1,0,0,0,45,38
60,2,389254,11,9,2,11,0,0,0,0,0,40,38
25,2,294406,8,11,4,9,1,0,1,0,0,30,38
25,2,403788,11,9,4,5,1,1,0,0,0,36,38
21,2,346693,5,4,4,4,4,0,0,0,0,40,38
31,2,310773,15,10,5,11,4,0,1,0,0,40,25
31,2,594187,11,9,2,6,0,0,0,0,0,40,38
23,2,306601,9,13,4,2,1,1,0,0,0,40,25
20,2,396722,15,10,4,11,1,0,1,0,0,40,38
29,5,382272,9,13,4,2,1,0,0,0,0,40,38
33,4,656488,8,11,0,12,4,1,0,0,0,50,38
42,2,409902,11,9,4,3,4,1,1,0,0,25,38
22,2,359759,15,10,4,11,1,1,0,0,0,20,29
58,2,519006,11,9,2,2,0,0,0,0,0,52,38
45,4,328051,12,14,4,9,1,0,1,0,0,60,38
39,2,299828,4,3,5,11,4,1,1,0,0,30,32
49,2,558752,15,10,0,0,1,0,1,3674,0,40,38
21,2,315476,15,10,4,2,3,0,0,0,0,25,38
30,2,315640,12,14,4,9,1,1,0,0,0,45,19
65,3,338316,15,10,2,11,0,0,0,0,0,40,38
33,0,319560,8,11,0,2,4,1,1,0,0,40,38
40,0,391744,11,9,4,0,4,1,1,0,0,40,38
28,1,327533,11,9,2,10,0,0,0,3908,0,40,38
59,2,304779,5,4,2,6,0,0,0,0,0,40,38
33,1,511289,8,11,2,10,0,0,0,0,0,48,38
56,4,323639,12,14,2,3,0,0,0,0,0,25,38
54,2,326156,15,10,2,2,0,0,0,0,0,40,38
33,4,520078,7,12,0,11,4,1,0,0,0,60,38
27,2,406662,11,9,4,0,1,0,0,4416,0,40,38
34,5,377017,12,14,4,9,4,0,0,0,0,40,38
23,2,322674,15,10,4,5,1,0,0,0,0,40,38
25,5,295912,15,10,4,2,1,0,0,0,0,20,38
48,2,300168,2,8,5,0,3,1,1,0,0,40,38
53,2,335481,11,9,2,0,5,1,1,0,0,32,38
43,4,311177,15,10,4,13,1,1,0,0,0,30,38
30,4,455995,1,7,4,2,1,0,0,0,0,45,38
33,2,291414,1,7,2,5,0,0,0,0,0,40,38
20,2,494784,11,9,4,11,2,1,1,0,0,35,38
41,2,327606,2,8,5,2,1,1,0,0,0,40,38
30,2,323069,11,9,4,0,1,0,1,0,0,30,38
40,2,306225,11,9,0,2,1,1,1,0,0,40,23
31,2,369027,11,9,2,13,0,1,0,0,0,37,38
58,4,321171,11,9,2,5,0,0,0,0,0,40,38
36,3,298624,15,10,2,3,0,0,0,0,0,30,38
36,2,353263,9,13,4,9,1,0,1,0,0,45,38
25,2,361307,9,13,4,11,3,0,1,0,0,40,38
35,2,342824,11,9,4,12,1,0,1,1151,0,40,38
30,2,324120,11,9,2,5,0,0,0,0,0,50,38
47,2,311395,15,10,0,6,1,1,0,0,0,40,38
23,0,361278,15,10,4,5,1,0,1,0,0,20,38
37,2,371576,15,10,5,6,1,1,0,0,0,40,38
24,2,403865,15,10,2,2,0,0,0,0,0,56,38
21,2,376929,4,3,4,8,1,0,1,0,0,40,25
33,2,295589,9,13,4,9,1,1,0,0,0,50,38
29,2,351731,15,10,2,9,0,0,0,0,0,40,38
33,2,554986,15,10,5,3,4,0,1,0,0,40,38
25,2,312157,15,10,4,9,1,0,1,0,0,40,38
41,2,343121,11,9,0,0,4,0,1,0,0,36,38
22,2,333838,11,9,4,0,1,0,0,0,0,40,38
55,2,342121,11,9,4,3,1,0,0,0,0,54,38
26,2,292803,15,10,4,7,3,0,1,0,0,24,38
41,2,303510,11,9,2,3,0,0,0,0,0,40,38
30,2,337908,7,12,2,0,5,1,1,0,0,20,38
20,2,385077,2,8,4,6,3,0,0,0,0,40,38
29,2,423158,15,10,4,12,1,0,1,0,0,40,38
19,2,292136,15,10,4,12,1,0,1,0,0,30,38
33,5,296282,11,9,2,2,0,0,0,0,0,40,38
18,2,301948,11,9,4,10,3,0,0,34095,0,3,38
62,2,345780,8,11,0,7,1,0,0,0,0,40,38
23,2,302195,9,13,2,9,0,0,0,0,0,40,38
27,2,394927,9,13,2,11,0,0,0,0,0,55,38
52,2,308764,15,10,0,3,4,0,1,0,0,40,38
28,2,328949,14,15,2,9,0,0,0,0,0,60,38
35,2,399455,11,9,3,7,4,0,1,0,0,52,38
35,2,403037,11,9,5,0,4,0,1,0,0,40,38
17,2,295991,0,6,4,0,3,0,1,0,0,20,38
21,2,292264,11,9,4,2,1,0,0,0,0,35,38
18,2,329054,1,7,4,0,3,0,1,0,0,15,38
18,2,310175,2,8,4,7,3,0,1,0,0,12,38
20,2,637080,15,10,4,11,1,0,0,0,0,25,38
34,5,334744,11,9,2,6,0,0,0,0,0,65,38
26,4,318644,14,15,4,9,3,0,0,0,0,20,38
27,2,294451,1,7,2,4,0,0,0,0,0,40,38
40,2,352080,15,10,2,2,0,1,0,0,0,40,38
36,2,447346,11,9,2,11,0,0,0,0,0,50,38
44,2,421449,11,9,0,0,4,0,1,0,0,40,38
79,2,333230,11,9,3,9,1,0,0,0,0,6,38
34,1,353270,8,11,4,2,3,0,1,0,0,40,38
54,2,302146,11,9,5,7,4,1,1,0,0,20,38
32,4,319280,7,12,4,11,1,0,0,0,0,80,38
39,2,318416,0,6,5,7,3,1,1,0,0,12,38
42,0,348059,7,12,5,9,4,0,1,0,0,40,38
34,1,303129,11,9,0,13,1,1,0,0,0,40,38
25,2,462869,11,9,4,5,2,0,0,0,0,40,25
21,2,314182,11,9,4,7,1,0,1,0,0,40,38
39,2,316211,9,13,4,9,1,0,0,0,0,40,38
20,2,420973,15,10,4,0,3,0,1,0,0,20,38
25,2,307643,11,9,2,13,0,0,0,0,0,40,38
39,4,327120,11,9,2,2,0,0,0,0,0,40,31
38,2,498785,11,9,2,5,0,0,0,0,0,40,38
24,2,310380,15,10,3,0,3,1,1,0,0,45,38
45,2,337825,11,9,2,2,0,0,0,0,0,45,38
26,2,304283,11,9,2,6,0,0,0,0,0,40,38
31,4,312055,11,9,2,3,0,0,0,0,0,70,38
22,2,308205,4,3,4,4,2,0,0,0,0,40,25
39,2,421633,15,10,0,10,4,1,1,0,0,30,38
24,1,310355,9,13,2,9,0,0,0,0,0,20,10
58,5,300623,11,9,0,0,4,0,1,0,0,40,38
31,2,331065,9,13,4,3,1,0,1,0,1408,40,38
23,2,543028,11,9,4,11,3,1,0,0,0,40,38
25,2,323229,9,13,2,13,0,0,0,0,0,40,38
32,2,857532,11,9,4,6,3,1,0,0,0,40,38
38,2,393945,8,11,0,12,1,0,1,0,0,36,38
35,2,331395,15,10,4,3,1,0,0,0,0,50,38
23,2,442274,2,8,4,0,4,0,0,0,0,40,38
38,2,295127,15,10,2,6,0,0,0,0,0,40,38
39,2,315291,11,9,4,0,4,1,1,0,0,40,38
48,2,440706,5,4,2,6,0,0,0,0,0,40,38
43,2,459342,11,9,0,0,1,0,1,0,0,40,38
22,2,401335,15,10,4,7,4,1,1,0,0,30,38
17,1,292285,1,7,4,9,3,0,1,0,0,25,38
22,2,400966,15,10,4,0,3,0,1,0,0,40,38
22,2,325179,15,10,4,9,3,0,0,0,0,50,38
58,2,298601,6,5,2,6,0,1,0,3781,0,40,38
58,2,343957,9,13,0,11,1,0,0,0,0,50,38
31,2,345277,9,13,0,9,1,0,1,0,0,40,38
44,2,297991,7,12,4,3,1,1,1,0,0,50,38
56,2,301835,4,3,5,6,1,0,0,0,0,40,38
29,2,377414,7,12,0,12,1,0,1,0,0,40,38
51,2,320513,5,4,3,2,1,1,0,0,0,50,5
46,2,364913,1,7,2,13,0,1,0,0,0,40,38
41,4,366483,11,9,2,4,0,0,0,0,0,36,25
31,2,328118,15,10,4,7,1,0,1,0,0,20,38
36,2,312206,11,9,2,9,0,0,0,0,0,60,38
29,0,440647,15,10,4,0,2,0,0,0,0,40,38
51,2,300816,9,13,4,0,4,0,0,0,0,20,38
37,2,356250,11,9,2,2,0,1,0,0,0,40,34
39,2,465334,1,7,0,4,4,0,0,0,0,1,38
43,2,341204,15,10,0,0,1,0,1,0,0,40,38
50,1,363405,15,10,6,0,4,0,1,0,0,40,38
56,2,359972,15,10,0,2,1,0,0,0,0,40,38
20,2,316043,1,7,4,7,3,1,0,594,0,20,38
19,2,292583,11,9,4,7,3,0,1,0,0,30,38
44,2,335223,11,9,2,5,0,0,0,0,0,40,38
43,1,330174,11,9,2,2,0,0,0,0,0,40,38
19,2,354104,11,9,4,5,3,0,0,0,0,30,38
65,2,330144,15,10,2,3,0,0,0,0,0,40,38
46,1,301124,12,14,4,9,1,0,1,0,1564,45,38
25,2,308144,9,13,4,2,1,0,0,0,0,40,25
31,0,351141,11,9,2,12,0,0,0,0,0,40,38
29,5,309620,12,14,2,9,0,1,0,0,0,20,35
25,2,356017,1,7,4,7,1,0,0,0,0,99,38
24,2,345066,11,9,4,5,1,1,1,0,0,50,38
31,0,469263,11,9,0,2,4,1,0,0,0,50,38
51,4,381769,11,9,2,4,0,0,0,0,0,50,38
55,2,327589,11,9,0,6,1,0,1,0,0,40,38
39,2,318452,1,7,2,9,0,0,0,0,0,60,38
27,2,467936,15,10,2,0,0,0,0,0,0,48,25
31,2,302679,2,8,2,9,0,0,0,0,0,55,38
34,3,314375,15,10,2,11,0,0,0,0,0,60,38
36,2,310531,0,6,5,5,4,1,0,0,0,40,38
31,1,357954,7,12,4,12,1,0,0,0,0,20,38
25,2,391192,15,10,4,11,3,0,0,0,0,24,38
64,2,349826,15,10,2,3,0,0,0,0,0,40,38
32,2,342458,9,13,4,9,1,0,0,0,0,40,38
39,2,305597,11,9,2,2,0,0,0,0,0,40,38
38,2,341943,11,9,0,3,4,0,1,0,0,40,38
30,2,349148,9,13,4,9,1,0,0,0,0,70,38
33,2,314068,8,11,0,12,4,0,1,0,0,40,38
64,5,550848,0,6,2,3,0,0,0,0,0,40,38
34,2,304872,6,5,0,7,4,0,1,0,0,40,38
26,2,306513,15,10,4,5,3,0,0,0,0,40,38
47,2,302711,1,7,0,0,4,0,1,0,0,40,38
44,5,307468,8,11,2,10,0,0,0,0,0,50,38
31,5,358461,15,10,4,7,1,1,0,0,0,40,38
25,2,364631,11,9,4,11,3,0,1,0,0,40,25
33,2,317660,15,10,2,2,0,0,0,0,0,40,38
54,4,406468,11,9,2,11,0,1,0,0,0,40,38
26,2,379246,15,10,4,7,1,0,1,0,0,40,38
60,0,608441,11,9,2,13,0,1,0,0,0,40,38
39,1,423605,2,8,2,13,0,0,0,0,1848,40,26
66,4,298045,9,13,2,3,0,0,0,0,0,30,38
29,2,383402,15,10,0,7,1,0,1,0,0,35,38
46,1,377622,11,9,2,7,0,0,0,0,0,40,38
51,2,357949,9,13,0,9,1,0,1,0,0,16,38
21,2,293968,15,10,3,11,3,1,1,0,0,20,38
33,2,433375,3,2,2,2,0,0,0,0,0,35,25
27,2,321577,11,9,4,6,3,1,1,0,0,40,38
57,2,477867,11,9,2,13,0,0,0,0,0,40,38
18,2,376647,11,9,4,5,3,0,0,2176,0,25,38
51,1,548361,9,13,2,9,0,0,0,0,0,26,38
28,2,297742,15,10,4,6,3,0,1,0,0,40,38
33,2,318982,9,13,2,2,0,0,0,0,0,38,38
67,1,312052,5,4,2,10,0,1,0,0,0,40,38
57,2,342906,6,5,2,11,0,1,0,0,0,55,38
17,3,413557,6,5,4,11,3,0,1,0,0,40,38
28,2,469864,9,13,4,9,1,1,0,0,0,40,38
27,2,706026,1,7,2,5,0,0,0,0,0,40,38
28,2,308136,11,9,4,7,3,0,0,0,0,40,38
39,2,294919,11,9,0,13,3,0,0,0,0,60,38
46,4,525848,1,7,2,13,0,1,0,0,0,48,38
29,2,354496,12,14,4,9,1,0,1,0,0,40,38
38,4,589838,11,9,2,2,0,0,0,0,0,47,38
56,2,392160,11,9,6,11,4,0,1,0,0,25,25
38,2,304001,11,9,2,2,0,0,0,0,0,40,38
20,4,306710,11,9,4,4,3,0,0,0,0,40,38
28,2,389713,11,9,0,10,1,0,0,0,0,40,38
43,2,498079,9,13,0,3,4,0,1,0,0,40,38
34,2,302770,15,10,2,11,0,0,0,0,0,60,38
75,2,314209,8,11,6,0,1,0,1,0,0,20,3
22,2,345066,0,6,4,7,4,1,1,0,0,40,38
22,2,293136,15,10,4,7,3,0,1,0,0,30,38
27,2,299536,15,10,2,0,5,0,1,0,0,55,38
23,2,549349,15,10,4,12,3,0,0,0,0,40,38
43,2,477983,11,9,2,5,0,1,0,0,0,40,38
58,2,316000,11,9,2,3,0,0,0,0,0,40,38
43,2,302041,11,9,4,0,1,1,1,0,0,40,38
18,2,434430,11,9,4,9,1,0,0,0,0,30,38
37,2,549174,11,9,2,2,0,0,0,0,0,50,38
26,2,369166,15,10,4,4,2,0,1,0,0,65,38
54,2,398212,11,9,2,13,0,1,0,5013,0,40,38
33,5,313729,12,14,4,9,1,0,0,0,0,60,38
37,4,352882,11,9,0,3,1,1,1,0,0,70,34
47,2,340982,15,10,2,6,0,1,0,3103,0,40,29
55,2,750972,5,4,2,2,0,0,0,0,0,41,38
31,1,378426,14,15,2,9,0,0,0,0,0,99,3
25,2,307643,7,12,2,2,0,0,0,3103,0,45,38
44,2,367749,3,2,4,6,1,0,1,0,0,40,7
32,2,373263,11,9,2,3,5,0,1,0,0,40,38
21,2,451996,11,9,4,11,3,0,0,0,0,40,38
33,2,419895,4,3,0,5,4,0,0,0,0,40,25
37,2,401998,11,9,6,6,4,0,1,0,0,20,38
37,2,393673,12,14,4,9,4,0,1,0,0,40,38
30,2,446894,11,9,2,5,0,0,0,0,0,30,38
29,2,309463,6,5,2,2,0,0,0,0,0,40,38
50,2,334421,14,15,4,9,2,1,1,0,1590,25,2
40,2,390369,11,9,0,2,3,0,0,0,0,40,38
38,2,313914,9,13,5,4,4,0,1,0,0,45,38
24,2,404416,15,10,4,5,1,0,0,0,0,40,38
35,2,301614,11,9,2,7,0,0,0,0,0,60,38
23,2,324960,11,9,4,2,2,0,0,0,0,40,38
25,2,338013,15,10,0,12,1,0,1,0,0,40,38
25,1,476599,9,13,4,9,1,0,1,0,0,40,38
24,4,375313,15,10,4,9,1,1,0,0,0,40,38
32,1,409282,11,9,2,2,0,0,0,0,0,40,38
43,2,318415,15,10,0,6,4,1,1,0,0,40,38
34,2,356882,15,10,2,11,0,0,0,0,0,45,38
59,2,329059,9,13,4,2,1,0,0,0,0,50,38
48,2,501671,11,9,0,6,1,1,0,0,0,48,38
18,2,395567,11,9,4,5,3,0,0,0,0,40,38
31,2,328734,11,9,4,0,4,0,1,0,2238,40,38
35,4,346605,15,10,0,7,4,0,1,0,0,20,38
38,5,352628,9,13,0,9,1,0,1,0,0,40,38
28,2,334032,8,11,4,11,1,0,0,0,0,50,38
19,2,331556,0,6,4,7,1,0,1,0,0,40,38
44,2,328561,8,11,2,0,2,0,1,0,0,20,38
40,2,293485,11,9,0,8,4,0,1,0,0,32,38
28,2,375655,9,13,4,11,4,0,0,0,0,50,38
22,2,436798,15,10,2,12,0,0,0,0,0,40,38
19,2,456736,11,9,4,11,1,0,0,2907,0,30,38
64,2,298301,11,9,2,7,0,0,0,0,0,40,38
28,2,377869,15,10,2,11,5,0,1,4064,0,25,38
43,2,972354,15,10,2,7,0,0,0,0,0,48,38
40,1,321187,9,13,4,9,4,0,1,0,0,45,38
50,4,334273,9,13,2,11,0,0,0,0,0,8,38
31,2,326104,9,13,2,4,0,0,0,0,0,45,38
26,2,544319,15,10,2,7,0,0,0,0,0,40,38
39,2,379350,0,6,2,2,0,0,0,0,0,40,38
25,2,441210,11,9,4,9,3,0,0,0,0,40,38
24,2,359828,9,13,2,9,0,0,0,0,0,44,38
40,2,409902,11,9,4,6,3,1,1,0,0,40,38
39,4,497525,0,6,5,2,1,1,0,0,0,40,38
33,2,589155,15,10,2,6,0,0,0,0,0,50,38
20,2,314539,11,9,4,6,3,0,0,0,0,40,38
34,5,334422,15,10,0,10,4,1,0,0,0,47,38
32,2,420895,11,9,2,13,0,0,0,0,0,40,38
24,2,488541,15,10,4,7,4,1,1,0,0,35,38
23,2,335067,9,13,4,9,1,0,0,0,0,30,38
43,2,390369,7,12,2,5,0,0,0,0,0,40,38
37,2,340599,1,7,5,7,4,1,1,0,0,40,38
